Year,Lake,Station,Species,Sample ID,PFBA (ug/kg),PFBA Qual,PFBS (ug/kg),PFBS Qual,PFDA (ug/kg),PFDA Qual,PFDA_b1 (ug/kg),PFDA_b1 Qual,PFDS (ug/kg),PFDS Qual,PFDS_b1 (ug/kg),PFDS_b1 Qual,PFDS_b2 (ug/kg),PFDS_b2 Qual,PFDS_b3 (ug/kg),PFDS_b3 Qual,PFDoA (ug/kg),PFDoA Qual,PFDoA_b1 (ug/kg),PFDoA_b1 Qual,PFHpA (ug/kg),PFHpA Qual,PFHxA (ug/kg),PFHxA Qual,PFHxDA (ug/kg),PFHxDA Qual,PFHxS  (ug/kg),PFHxS Qual,PFHxS_b1  (ug/kg),PFHxS_b1 Qual,PFNA  (ug/kg),PFNA Qual,PFNA_b1  (ug/kg),PFNA_b1 Qual,PFOA  (ug/kg),PFOA Qual,PFOA_b1  (ug/kg),PFOA_b1 Qual,PFOS (ug/kg),PFOS Qual,PFOS_b1  (ug/kg),PFOS_b1 Qual,PFOS_b2  (ug/kg),PFOS_b2 Qual,PFOS_b3  (ug/kg),PFOS_b3 Qual,PFOS_b4  (ug/kg),PFOS_b4 Qual,PFOS_b5  (ug/kg),PFOS_b5 Qual,PFPeA  (ug/kg),PFPeA Qual,PFTeA  (ug/kg),PFTeA Qual,PFTrA  (ug/kg),PFTrA Qual,PFTrA_b1  (ug/kg),PFTrA_b1 Qual,PFUnA  (ug/kg),PFUnA Qual,PFUnA_b1  (ug/kg),PFUnA_b1 Qual,PFC_Tot  (ug/kg),PFC_Tot Qual,4:2FTS (ug/kg),4:2FTS Qual,6:2FTS (ug/kg),6:2FTS Qual,8:2FTS (ug/kg),8:2FTS Qual,NEtFOSAA (ug/kg),NEtFOSAA Qual,NMeFOSAA (ug/kg),NMeFOSAA Qual,3:3FTCA (ug/kg),3:3FTCA Qual,5:3FTCA (ug/kg),5:3FTCA Qual,7:3FTCA (ug/kg),7:3FTCA Qual,11Cl-PF3OUdS (ug/kg),11Cl-PF3OUdS Qual,ADONA (ug/kg),ADONA Qual,HFPO_DA (ug/kg),HFPO_DA Qual,NFDHA (ug/kg),NFDHA Qual,PF3ONS (ug/kg),PF3ONS Qual,PFDOS (ug/kg),PFDOS Qual,PFEESA (ug/kg),PFEESA Qual,PFHpS (ug/kg),PFHpS Qual,PFMBA (ug/kg),PFMBA Qual,PFMPA (ug/kg),PFMPA Qual,PFNS (ug/kg),PFNS Qual,PFOSA (ug/kg),PFOSA Qual,PFPeS (ug/kg),PFPeS Qual
2011,Huron,LH-Port Austin,Lake Trout,20111410001,0.192666667,BDL-LAB,0.024,BDL-LAB,0.356,BDL-LAB,,,0.055666667,BDL-LAB,,,,,,,0.270052734,,,,0.033333333,BDL-LAB,0,BDL-LAB,,,0.090480155,,,,0.494,BDL-LAB,,,0.033666667,BDL-LAB,,,4.953094643,,,,,,,,,,,,0,BDL-LAB,0.290591174,,0.482375798,,,,0.781,BDL-LAB,,,8.056927838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410002,1.429839633,,0.026,BDL-LAB,0.466,BDL-LAB,,,0.067,BDL-LAB,,,,,,,0.165,BDL-LAB,,,0.017666667,BDL-LAB,0.019,BDL-LAB,,,0.092666667,BDL-LAB,,,0.400057274,,,,0.026666667,BDL-LAB,,,6.359106529,,,,,,,,,,,,0,BDL-LAB,0.157,BDL-LAB,0.441333333,BDL-LAB,,,0.707617411,,,,10.37495418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410003,0.217333333,BDL-LAB,0.017666667,BDL-LAB,0.998324958,,,,0.05667225,,,,,,,,0.42881072,,,,0.021666667,BDL-LAB,0.003666667,BDL-LAB,,,0.149357901,,,,0.864042434,,,,0.031333333,BDL-LAB,,,11.85371301,,,,,,,,,,,,0,BDL-LAB,0.360971524,,0.610552764,,,,1.648799553,,,,17.26291178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410004,4.036805012,,0.008333333,BDL-LAB,0.734012007,,,,0.040333333,BDL-LAB,,,,,,,0.23779692,,,,0.015333333,BDL-LAB,0,BDL-LAB,,,0.080657792,,,,0.503523884,,,,0.087,BDL-LAB,,,5.64082485,,,,,,,,,,,,0,BDL-LAB,0.277,BDL-LAB,0.441399113,,,,1.295484208,,,,13.39850378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410005,0.023666667,BDL-LAB,0,BDL-LAB,0.357024793,,,,0.033666667,BDL-LAB,,,,,,,0.156666667,BDL-LAB,,,0.015333333,BDL-LAB,0.044333333,BDL-LAB,,,0.075206612,,,,0.450137741,,,,0.038333333,BDL-LAB,,,4.609090909,,,,,,,,,,,,0,BDL-LAB,0.122666667,BDL-LAB,0.278333333,BDL-LAB,,,0.510192837,,,,6.714652893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410006,0.061666667,BDL-LAB,0.021,BDL-LAB,1.169270833,,,,0.072591146,,,,,,,,0.474934896,,,,0.015,BDL-LAB,0.025333333,BDL-LAB,,,0.19140625,,,,1.215820313,,,,0.072333333,BDL-LAB,,,12.81901042,,,,,,,,,,,,0,BDL-LAB,0.204333333,BDL-LAB,0.456054688,,,,2.362304688,,,,19.1610599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410007,0.227,BDL-LAB,0.012333333,BDL-LAB,0.448375036,,,,0.027,BDL-LAB,,,,,,,0.210666667,BDL-LAB,,,0.015333333,BDL-LAB,0.029,BDL-LAB,,,0.106413575,,,,0.467644521,,,,0.044333333,BDL-LAB,,,6.416450963,,,,,,,,,,,,0.005666667,BDL-LAB,0.092666667,BDL-LAB,0.298245614,,,,0.751509922,,,,9.152639632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111410008,0.206666667,BDL-LAB,0.029333333,BDL-LAB,0.413512093,,,,0.037,BDL-LAB,,,,,,,0.196635121,BDL-LAB,,,0.041666667,BDL-LAB,0.018333333,BDL-LAB,,,0.077287066,,,,0.368822292,,,,0.042,BDL-LAB,,,4.869610936,,,,,,,,,,,,0,BDL-LAB,0.077666667,BDL-LAB,0.284700315,,,,0.732386961,,,,7.395621451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111412001,0.073333333,BDL-LAB,0.032333333,BDL-LAB,0.74883856,,,,0.044333333,BDL-LAB,,,,,,,0.184,BDL-LAB,,,0,BDL-LAB,0.004333333,BDL-LAB,,,0.094947735,,,,0.683797909,,,,0.085333333,BDL-LAB,,,6.608013937,,,,,,,,,,,,0,BDL-LAB,0.091666667,BDL-LAB,0.156333333,BDL-LAB,,,1.078397213,,,,9.885662021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Huron,LH-Port Austin,Lake Trout,20111412002,0.054333333,BDL-LAB,0.020333333,BDL-LAB,0.701424501,,,,0.023333333,BDL-LAB,,,,,,,0.296333333,BDL-LAB,,,0.049,BDL-LAB,0.041333333,BDL-LAB,,,0.124501425,,,,0.787749288,,,,0.043666667,BDL-LAB,,,7.220797721,,,,,,,,,,,,0,BDL-LAB,0.214666667,BDL-LAB,0.257333333,BDL-LAB,,,1.4002849,,,,11.23509117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
